,0,1,2,3,4,5,6,7,8,9
0,1,0,2,2,2,1,1,0,0,7
1,0,2,0,0,0,0,0,0,0,2
2,0,2,2,0,2,1,1,1,0,8
3,1,2,2,0,0,0,0,0,0,3
4,1,0,0,1,0,2,0,0,0,6
5,1,0,0,1,0,0,0,0,0,4
6,1,2,0,0,2,1,0,0,0,6
7,1,0,0,0,2,1,1,0,0,7
8,1,1,2,0,0,0,0,0,0,3
9,1,2,1,1,0,0,0,0,0,4
10,1,2,1,1,2,0,2,1,0,8
11,0,2,0,0,2,1,0,1,0,8
12,1,0,2,2,2,1,1,1,0,8
13,0,0,0,0,2,1,0,0,0,8
14,1,1,2,2,2,1,1,0,0,8
15,2,0,0,0,2,1,1,0,0,8
16,1,0,0,0,2,1,0,0,0,6
17,2,0,1,0,2,0,1,0,0,8
18,2,1,0,2,2,0,0,0,0,5
19,2,1,2,1,1,0,0,0,0,5
20,2,0,1,2,2,0,0,0,0,5
21,0,2,0,0,2,0,1,0,0,7
22,2,0,1,1,1,0,0,0,0,5
23,2,0,1,0,1,0,0,0,0,6
24,0,0,2,1,1,0,0,0,0,5
25,0,0,2,1,2,0,0,0,0,6
26,1,2,1,0,1,0,0,0,0,5
27,0,0,1,0,2,0,2,1,0,8
28,1,0,0,0,2,0,0,0,0,5
29,1,0,1,0,0,0,0,0,0,3
30,1,0,0,0,1,0,2,0,0,8
31,1,0,1,0,1,0,2,0,0,7
32,1,0,2,1,1,0,0,0,0,5
33,0,0,0,0,2,0,0,1,0,8
34,1,1,2,0,0,2,0,1,0,8
35,1,0,0,2,2,0,1,1,0,8
36,1,1,0,2,2,0,0,0,0,5
37,1,0,0,2,1,0,0,0,0,8
38,1,0,0,2,1,1,0,0,0,6
39,0,0,2,0,2,0,1,1,0,8
40,1,0,2,0,2,0,0,0,0,5
41,1,0,0,0,1,1,2,0,0,7
42,1,0,0,0,1,0,0,2,0,8
43,1,0,0,0,1,1,0,0,0,6
44,1,0,2,1,0,2,0,1,0,8
45,0,1,0,2,0,0,0,0,0,4
46,1,0,0,0,1,0,0,0,0,6
47,1,1,0,0,1,0,2,0,0,7
48,1,0,2,1,0,1,0,0,0,6
49,1,0,0,2,2,0,0,0,0,5
50,0,2,0,1,1,0,0,0,0,5
51,0,1,2,2,1,1,0,0,0,7
52,0,2,0,0,2,0,1,1,0,8
53,1,2,0,2,2,1,1,0,0,7
54,0,2,1,0,1,0,0,0,0,6
55,2,2,1,1,1,0,0,0,0,5
56,0,2,0,0,1,2,1,1,0,8
57,2,0,0,2,1,1,0,0,0,6
58,0,0,2,0,0,0,0,0,0,3
59,0,0,1,0,1,0,0,2,0,8
60,0,0,1,0,1,1,0,0,0,6
61,2,2,1,0,0,0,0,0,0,3
62,2,2,1,2,1,1,0,0,0,6
63,1,2,0,2,2,1,1,1,0,8
64,0,0,2,0,2,1,1,0,0,8
65,1,0,0,2,2,1,0,0,0,7
66,0,0,0,2,2,1,1,0,0,7
67,0,0,0,0,2,0,1,0,0,8
68,1,0,2,1,0,0,0,0,0,4
69,1,1,0,0,0,0,0,0,0,2
70,1,1,2,1,0,0,0,0,0,5
71,1,0,0,2,0,0,0,0,0,4
72,1,0,0,2,2,1,1,0,0,7
73,1,2,1,0,0,0,0,0,0,4
74,1,2,1,0,2,0,1,0,0,7
75,1,0,0,0,0,0,0,0,0,3
76,1,0,1,2,0,0,0,0,0,4
77,2,0,0,1,2,1,1,0,0,8
78,2,1,2,1,2,1,0,0,0,6
79,2,1,0,0,0,0,0,0,0,2
80,0,0,2,0,2,1,0,0,0,6
81,2,1,0,1,2,0,0,0,0,5
82,2,0,0,1,2,0,1,0,0,7
83,0,0,2,1,0,0,0,0,0,4
84,2,0,2,1,2,1,1,0,0,7
85,2,0,2,1,2,1,0,0,0,6
86,2,0,0,1,0,0,0,0,0,4
87,2,0,1,1,2,2,1,0,0,7
88,0,2,0,1,2,0,0,0,0,6
90,0,0,0,1,2,0,0,1,0,8
92,0,1,0,1,0,0,0,0,0,4
93,0,1,0,0,0,0,0,0,0,2
94,0,2,0,1,2,1,1,0,0,7
95,2,0,0,1,1,2,1,0,0,8
96,0,0,2,1,1,2,1,0,0,8
98,2,0,2,1,1,2,1,1,0,8
99,0,0,2,0,1,0,0,0,0,8
101,2,1,2,0,0,0,0,0,0,3
102,2,1,2,1,1,2,0,0,0,6
103,0,0,0,0,2,0,0,0,0,6
104,1,0,2,0,0,0,0,0,0,3
105,0,0,2,0,2,0,1,0,0,7
107,2,0,1,0,0,0,0,0,0,3
108,0,0,0,1,0,0,0,0,0,4
109,0,0,0,1,2,1,0,0,0,7
113,2,0,0,1,1,0,0,0,0,5
116,0,0,0,1,2,0,0,0,0,6
117,0,0,1,1,2,0,2,0,0,8
119,0,0,0,0,1,0,0,0,0,6
123,0,0,0,2,1,1,0,0,0,6
125,1,1,0,2,1,1,2,0,0,7
129,1,0,0,2,1,1,2,0,0,7
132,0,0,0,1,2,2,0,0,0,7
134,1,2,0,0,0,0,0,0,0,2
135,0,0,0,0,0,0,0,0,0,4
136,0,0,0,2,1,0,0,0,0,8
137,2,0,0,2,1,0,0,0,0,6
138,2,0,0,0,0,0,0,0,0,2
